"","x","y","NDVI","Date"
"234",456965,6527155,0.637676596641541,2018-07-14
"235",456975,6527155,0.628209114074707,2018-07-14
"236",456985,6527155,0.633676111698151,2018-07-14
"237",456995,6527155,0.624298453330994,2018-07-14
"238",457005,6527155,0.62385630607605,2018-07-14
"239",457015,6527155,0.624184131622314,2018-07-14
"240",457025,6527155,0.621765077114105,2018-07-14
"241",457035,6527155,0.603448271751404,2018-07-14
"242",457045,6527155,0.582518696784973,2018-07-14
"243",457055,6527155,0.559507548809052,2018-07-14
"371",456935,6527145,0.675934791564941,2018-07-14
"372",456945,6527145,0.686338424682617,2018-07-14
"373",456955,6527145,0.673378050327301,2018-07-14
"374",456965,6527145,0.661300718784332,2018-07-14
"375",456975,6527145,0.643312096595764,2018-07-14
"376",456985,6527145,0.639580607414246,2018-07-14
"377",456995,6527145,0.626242518424988,2018-07-14
"378",457005,6527145,0.625441670417786,2018-07-14
"379",457015,6527145,0.6202033162117,2018-07-14
"380",457025,6527145,0.606462061405182,2018-07-14
"381",457035,6527145,0.576276361942291,2018-07-14
"382",457045,6527145,0.571733176708221,2018-07-14
"383",457055,6527145,0.571677327156067,2018-07-14
"384",457065,6527145,0.59977513551712,2018-07-14
"385",457075,6527145,0.651063859462738,2018-07-14
"386",457085,6527145,0.653637051582336,2018-07-14
"387",457095,6527145,0.641255617141724,2018-07-14
"508",456905,6527135,0.667522490024567,2018-07-14
"509",456915,6527135,0.662371158599854,2018-07-14
"510",456925,6527135,0.682740271091461,2018-07-14
"511",456935,6527135,0.679120898246765,2018-07-14
"512",456945,6527135,0.682160794734955,2018-07-14
"513",456955,6527135,0.669312179088593,2018-07-14
"514",456965,6527135,0.661173343658447,2018-07-14
"515",456975,6527135,0.65093731880188,2018-07-14
"516",456985,6527135,0.638631284236908,2018-07-14
"517",456995,6527135,0.627613663673401,2018-07-14
"518",457005,6527135,0.609803318977356,2018-07-14
"519",457015,6527135,0.599485695362091,2018-07-14
"520",457025,6527135,0.570804715156555,2018-07-14
"521",457035,6527135,0.512209117412567,2018-07-14
"522",457045,6527135,0.470812886953354,2018-07-14
"523",457055,6527135,0.51680999994278,2018-07-14
"524",457065,6527135,0.607956051826477,2018-07-14
"525",457075,6527135,0.667957663536072,2018-07-14
"526",457085,6527135,0.653686821460724,2018-07-14
"527",457095,6527135,0.632808268070221,2018-07-14
"528",457105,6527135,0.607557356357574,2018-07-14
"647",456895,6527125,0.640646040439606,2018-07-14
"648",456905,6527125,0.652620732784271,2018-07-14
"649",456915,6527125,0.666324079036713,2018-07-14
"650",456925,6527125,0.676885962486267,2018-07-14
"651",456935,6527125,0.659519195556641,2018-07-14
"652",456945,6527125,0.672609388828278,2018-07-14
"653",456955,6527125,0.673151731491089,2018-07-14
"654",456965,6527125,0.657292366027832,2018-07-14
"655",456975,6527125,0.641714632511139,2018-07-14
"656",456985,6527125,0.605206072330475,2018-07-14
"657",456995,6527125,0.579560160636902,2018-07-14
"658",457005,6527125,0.587039411067963,2018-07-14
"659",457015,6527125,0.585298597812653,2018-07-14
"660",457025,6527125,0.581179201602936,2018-07-14
"661",457035,6527125,0.530283689498901,2018-07-14
"662",457045,6527125,0.483653843402863,2018-07-14
"663",457055,6527125,0.512302041053772,2018-07-14
"664",457065,6527125,0.553497970104218,2018-07-14
"665",457075,6527125,0.606019914150238,2018-07-14
"666",457085,6527125,0.627062678337097,2018-07-14
"667",457095,6527125,0.622727274894714,2018-07-14
"668",457105,6527125,0.623391807079315,2018-07-14
"669",457115,6527125,0.635800719261169,2018-07-14
"670",457125,6527125,0.643490672111511,2018-07-14
"671",457135,6527125,0.641055047512054,2018-07-14
"672",457145,6527125,0.653124153614044,2018-07-14
"785",456875,6527115,0.648426830768585,2018-07-14
"786",456885,6527115,0.625260233879089,2018-07-14
"787",456895,6527115,0.637913405895233,2018-07-14
"788",456905,6527115,0.655357718467712,2018-07-14
"789",456915,6527115,0.668643176555634,2018-07-14
"790",456925,6527115,0.666784107685089,2018-07-14
"791",456935,6527115,0.661120533943176,2018-07-14
"792",456945,6527115,0.663419544696808,2018-07-14
"793",456955,6527115,0.65263158082962,2018-07-14
"794",456965,6527115,0.633641302585602,2018-07-14
"795",456975,6527115,0.580071151256561,2018-07-14
"797",456995,6527115,0.505760371685028,2018-07-14
"798",457005,6527115,0.525269746780396,2018-07-14
"799",457015,6527115,0.530961036682129,2018-07-14
"800",457025,6527115,0.536521255970001,2018-07-14
"801",457035,6527115,0.510456264019012,2018-07-14
"803",457055,6527115,0.526635825634003,2018-07-14
"804",457065,6527115,0.541806876659393,2018-07-14
"805",457075,6527115,0.591657519340515,2018-07-14
"806",457085,6527115,0.609579503536224,2018-07-14
"807",457095,6527115,0.623740196228027,2018-07-14
"808",457105,6527115,0.628579556941986,2018-07-14
"809",457115,6527115,0.624573349952698,2018-07-14
"810",457125,6527115,0.609141528606415,2018-07-14
"811",457135,6527115,0.630320727825165,2018-07-14
"812",457145,6527115,0.641774296760559,2018-07-14
"813",457155,6527115,0.652356624603271,2018-07-14
"814",457165,6527115,0.660719692707062,2018-07-14
"924",456865,6527105,0.520539522171021,2018-07-14
