"","x","y","NDVI","Date"
"234",456965,6527155,0.708676874637604,2018-06-01
"235",456975,6527155,0.708479881286621,2018-06-01
"236",456985,6527155,0.697925329208374,2018-06-01
"237",456995,6527155,0.682947754859924,2018-06-01
"238",457005,6527155,0.676533699035645,2018-06-01
"239",457015,6527155,0.681660890579224,2018-06-01
"240",457025,6527155,0.703301310539246,2018-06-01
"241",457035,6527155,0.703002870082855,2018-06-01
"242",457045,6527155,0.695148110389709,2018-06-01
"243",457055,6527155,0.695436060428619,2018-06-01
"244",457065,6527155,0.709291636943817,2018-06-01
"245",457075,6527155,0.716591954231262,2018-06-01
"371",456935,6527145,0.720032155513763,2018-06-01
"372",456945,6527145,0.714509785175323,2018-06-01
"373",456955,6527145,0.729603707790375,2018-06-01
"374",456965,6527145,0.713823795318604,2018-06-01
"375",456975,6527145,0.706051886081696,2018-06-01
"376",456985,6527145,0.695056080818176,2018-06-01
"377",456995,6527145,0.681159436702728,2018-06-01
"378",457005,6527145,0.676884829998016,2018-06-01
"379",457015,6527145,0.693139314651489,2018-06-01
"380",457025,6527145,0.715706586837769,2018-06-01
"381",457035,6527145,0.70016747713089,2018-06-01
"382",457045,6527145,0.707049369812012,2018-06-01
"383",457055,6527145,0.713777780532837,2018-06-01
"384",457065,6527145,0.736749112606049,2018-06-01
"385",457075,6527145,0.764661371707916,2018-06-01
"386",457085,6527145,0.762342512607574,2018-06-01
"387",457095,6527145,0.768434643745422,2018-06-01
"388",457105,6527145,0.768790006637573,2018-06-01
"508",456905,6527135,0.720325231552124,2018-06-01
"509",456915,6527135,0.71636950969696,2018-06-01
"510",456925,6527135,0.70209276676178,2018-06-01
"511",456935,6527135,0.723616063594818,2018-06-01
"512",456945,6527135,0.715781629085541,2018-06-01
"513",456955,6527135,0.724579691886902,2018-06-01
"514",456965,6527135,0.707119762897491,2018-06-01
"515",456975,6527135,0.717523276805878,2018-06-01
"516",456985,6527135,0.701261699199677,2018-06-01
"517",456995,6527135,0.696026206016541,2018-06-01
"518",457005,6527135,0.681818187236786,2018-06-01
"519",457015,6527135,0.67681896686554,2018-06-01
"520",457025,6527135,0.693230509757996,2018-06-01
"521",457035,6527135,0.679586589336395,2018-06-01
"522",457045,6527135,0.703002870082855,2018-06-01
"523",457055,6527135,0.739805817604065,2018-06-01
"524",457065,6527135,0.774238228797913,2018-06-01
"525",457075,6527135,0.76352447271347,2018-06-01
"526",457085,6527135,0.733157217502594,2018-06-01
"527",457095,6527135,0.724372029304504,2018-06-01
"528",457105,6527135,0.724340200424194,2018-06-01
"529",457115,6527135,0.714744865894318,2018-06-01
"530",457125,6527135,0.717399775981903,2018-06-01
"647",456895,6527125,0.701986730098724,2018-06-01
"648",456905,6527125,0.704975783824921,2018-06-01
"649",456915,6527125,0.714527010917664,2018-06-01
"650",456925,6527125,0.696299433708191,2018-06-01
"651",456935,6527125,0.70066887140274,2018-06-01
"652",456945,6527125,0.699523031711578,2018-06-01
"653",456955,6527125,0.70694500207901,2018-06-01
"654",456965,6527125,0.721192598342896,2018-06-01
"655",456975,6527125,0.720688283443451,2018-06-01
"656",456985,6527125,0.694779098033905,2018-06-01
"657",456995,6527125,0.696458697319031,2018-06-01
"658",457005,6527125,0.687881410121918,2018-06-01
"659",457015,6527125,0.691139221191406,2018-06-01
"660",457025,6527125,0.692052960395813,2018-06-01
"661",457035,6527125,0.693593323230743,2018-06-01
"662",457045,6527125,0.712583780288696,2018-06-01
"663",457055,6527125,0.724366068840027,2018-06-01
"664",457065,6527125,0.720289826393127,2018-06-01
"665",457075,6527125,0.688502669334412,2018-06-01
"666",457085,6527125,0.66832172870636,2018-06-01
"667",457095,6527125,0.689072728157043,2018-06-01
"668",457105,6527125,0.686098635196686,2018-06-01
"669",457115,6527125,0.677753150463104,2018-06-01
"670",457125,6527125,0.67441862821579,2018-06-01
"671",457135,6527125,0.667738497257233,2018-06-01
"672",457145,6527125,0.68879371881485,2018-06-01
"785",456875,6527115,0.686069846153259,2018-06-01
"786",456885,6527115,0.679117143154144,2018-06-01
"787",456895,6527115,0.695614814758301,2018-06-01
"788",456905,6527115,0.702127635478973,2018-06-01
"789",456915,6527115,0.70034247636795,2018-06-01
"790",456925,6527115,0.70875495672226,2018-06-01
"791",456935,6527115,0.719418287277222,2018-06-01
"792",456945,6527115,0.719105839729309,2018-06-01
"793",456955,6527115,0.711185336112976,2018-06-01
"794",456965,6527115,0.713607609272003,2018-06-01
