"","x","y","STR","Date"
"234",456965,6527155,4.77754497528076,2018-07-14
"235",456975,6527155,4.77754497528076,2018-07-14
"236",456985,6527155,4.49841260910034,2018-07-14
"237",456995,6527155,4.49841260910034,2018-07-14
"238",457005,6527155,4.5520076751709,2018-07-14
"239",457015,6527155,4.5520076751709,2018-07-14
"240",457025,6527155,4.21368932723999,2018-07-14
"241",457035,6527155,4.21368932723999,2018-07-14
"242",457045,6527155,3.51635336875916,2018-07-14
"243",457055,6527155,3.51635336875916,2018-07-14
"371",456935,6527145,4.97334814071655,2018-07-14
"372",456945,6527145,4.93862676620483,2018-07-14
"373",456955,6527145,4.93862676620483,2018-07-14
"374",456965,6527145,4.77754497528076,2018-07-14
"375",456975,6527145,4.77754497528076,2018-07-14
"376",456985,6527145,4.49841260910034,2018-07-14
"377",456995,6527145,4.49841260910034,2018-07-14
"378",457005,6527145,4.5520076751709,2018-07-14
"379",457015,6527145,4.5520076751709,2018-07-14
"380",457025,6527145,4.21368932723999,2018-07-14
"381",457035,6527145,4.21368932723999,2018-07-14
"382",457045,6527145,3.51635336875916,2018-07-14
"383",457055,6527145,3.51635336875916,2018-07-14
"384",457065,6527145,3.7307186126709,2018-07-14
"385",457075,6527145,3.7307186126709,2018-07-14
"386",457085,6527145,3.92459440231323,2018-07-14
"387",457095,6527145,3.92459440231323,2018-07-14
"508",456905,6527135,5.19823503494263,2018-07-14
"509",456915,6527135,5.19823503494263,2018-07-14
"510",456925,6527135,4.93173170089722,2018-07-14
"511",456935,6527135,4.93173170089722,2018-07-14
"512",456945,6527135,4.71941900253296,2018-07-14
"513",456955,6527135,4.71941900253296,2018-07-14
"514",456965,6527135,4.18216991424561,2018-07-14
"515",456975,6527135,4.18216991424561,2018-07-14
"516",456985,6527135,3.46971249580383,2018-07-14
"517",456995,6527135,3.46971249580383,2018-07-14
"518",457005,6527135,3.34646463394165,2018-07-14
"519",457015,6527135,3.34646463394165,2018-07-14
"520",457025,6527135,3.1494574546814,2018-07-14
"521",457035,6527135,3.1494574546814,2018-07-14
"522",457045,6527135,3.08149266242981,2018-07-14
"523",457055,6527135,3.08149266242981,2018-07-14
"524",457065,6527135,3.4890239238739,2018-07-14
"525",457075,6527135,3.4890239238739,2018-07-14
"526",457085,6527135,3.69211888313293,2018-07-14
"527",457095,6527135,3.69211888313293,2018-07-14
"528",457105,6527135,3.96727085113525,2018-07-14
"647",456895,6527125,5.10185575485229,2018-07-14
"648",456905,6527125,5.19823503494263,2018-07-14
"649",456915,6527125,5.19823503494263,2018-07-14
"650",456925,6527125,4.93173170089722,2018-07-14
"651",456935,6527125,4.93173170089722,2018-07-14
"652",456945,6527125,4.71941900253296,2018-07-14
"653",456955,6527125,4.71941900253296,2018-07-14
"654",456965,6527125,4.18216991424561,2018-07-14
"655",456975,6527125,4.18216991424561,2018-07-14
"656",456985,6527125,3.46971249580383,2018-07-14
"657",456995,6527125,3.46971249580383,2018-07-14
"658",457005,6527125,3.34646463394165,2018-07-14
"659",457015,6527125,3.34646463394165,2018-07-14
"660",457025,6527125,3.1494574546814,2018-07-14
"661",457035,6527125,3.1494574546814,2018-07-14
"662",457045,6527125,3.08149266242981,2018-07-14
"663",457055,6527125,3.08149266242981,2018-07-14
"664",457065,6527125,3.4890239238739,2018-07-14
"665",457075,6527125,3.4890239238739,2018-07-14
"666",457085,6527125,3.69211888313293,2018-07-14
"667",457095,6527125,3.69211888313293,2018-07-14
"668",457105,6527125,3.96727085113525,2018-07-14
"669",457115,6527125,3.96727085113525,2018-07-14
"670",457125,6527125,3.94820976257324,2018-07-14
"671",457135,6527125,3.94820976257324,2018-07-14
"672",457145,6527125,4.26171445846558,2018-07-14
"785",456875,6527115,4.02047920227051,2018-07-14
"786",456885,6527115,4.66247749328613,2018-07-14
"787",456895,6527115,4.66247749328613,2018-07-14
"788",456905,6527115,4.8435640335083,2018-07-14
"789",456915,6527115,4.8435640335083,2018-07-14
"790",456925,6527115,4.44009351730347,2018-07-14
"791",456935,6527115,4.44009351730347,2018-07-14
"792",456945,6527115,3.27165007591248,2018-07-14
"793",456955,6527115,3.27165007591248,2018-07-14
"794",456965,6527115,2.19173789024353,2018-07-14
"795",456975,6527115,2.19173789024353,2018-07-14
"797",456995,6527115,1.87376439571381,2018-07-14
"798",457005,6527115,2.03798723220825,2018-07-14
"799",457015,6527115,2.03798723220825,2018-07-14
"800",457025,6527115,2.16371393203735,2018-07-14
"801",457035,6527115,2.16371393203735,2018-07-14
"803",457055,6527115,2.64894819259644,2018-07-14
"804",457065,6527115,3.12654042243958,2018-07-14
"805",457075,6527115,3.12654042243958,2018-07-14
"806",457085,6527115,3.24730467796326,2018-07-14
"807",457095,6527115,3.24730467796326,2018-07-14
"808",457105,6527115,3.46587109565735,2018-07-14
"809",457115,6527115,3.46587109565735,2018-07-14
"810",457125,6527115,3.54801297187805,2018-07-14
"811",457135,6527115,3.54801297187805,2018-07-14
"812",457145,6527115,3.96727085113525,2018-07-14
"813",457155,6527115,3.96727085113525,2018-07-14
"814",457165,6527115,4.42284393310547,2018-07-14
"924",456865,6527105,4.02047920227051,2018-07-14
"925",456875,6527105,4.02047920227051,2018-07-14
"926",456885,6527105,4.66247749328613,2018-07-14
"927",456895,6527105,4.66247749328613,2018-07-14
"928",456905,6527105,4.8435640335083,2018-07-14
"929",456915,6527105,4.8435640335083,2018-07-14
"930",456925,6527105,4.44009351730347,2018-07-14
"931",456935,6527105,4.44009351730347,2018-07-14
"932",456945,6527105,3.27165007591248,2018-07-14
"933",456955,6527105,3.27165007591248,2018-07-14
"934",456965,6527105,2.19173789024353,2018-07-14
"943",457055,6527105,2.64894819259644,2018-07-14
"944",457065,6527105,3.12654042243958,2018-07-14
"945",457075,6527105,3.12654042243958,2018-07-14
"946",457085,6527105,3.24730467796326,2018-07-14
"947",457095,6527105,3.24730467796326,2018-07-14
"948",457105,6527105,3.46587109565735,2018-07-14
"949",457115,6527105,3.46587109565735,2018-07-14
"950",457125,6527105,3.54801297187805,2018-07-14
"951",457135,6527105,3.54801297187805,2018-07-14
"952",457145,6527105,3.96727085113525,2018-07-14
"953",457155,6527105,3.96727085113525,2018-07-14
"954",457165,6527105,4.42284393310547,2018-07-14
"955",457175,6527105,4.42284393310547,2018-07-14
"1062",456845,6527095,4.33825540542603,2018-07-14
"1064",456865,6527095,3.92929887771606,2018-07-14
"1065",456875,6527095,3.92929887771606,2018-07-14
"1066",456885,6527095,4.29970073699951,2018-07-14
"1067",456895,6527095,4.29970073699951,2018-07-14
"1068",456905,6527095,4.15104103088379,2018-07-14
"1069",456915,6527095,4.15104103088379,2018-07-14
"1070",456925,6527095,2.85106134414673,2018-07-14
"1071",456935,6527095,2.85106134414673,2018-07-14
"1072",456945,6527095,1.54266476631165,2018-07-14
"1082",457045,6527095,2.53480386734009,2018-07-14
"1083",457055,6527095,2.53480386734009,2018-07-14
"1084",457065,6527095,2.90534591674805,2018-07-14
"1085",457075,6527095,2.90534591674805,2018-07-14
"1086",457085,6527095,3.0625,2018-07-14
"1087",457095,6527095,3.0625,2018-07-14
"1088",457105,6527095,3.09105896949768,2018-07-14
"1089",457115,6527095,3.09105896949768,2018-07-14
"1090",457125,6527095,3.15605401992798,2018-07-14
"1091",457135,6527095,3.15605401992798,2018-07-14
"1092",457145,6527095,3.59230494499207,2018-07-14
"1093",457155,6527095,3.59230494499207,2018-07-14
"1094",457165,6527095,3.92929887771606,2018-07-14
"1095",457175,6527095,3.92929887771606,2018-07-14
"1096",457185,6527095,3.9058690071106,2018-07-14
"1097",457195,6527095,3.9058690071106,2018-07-14
"1194",456765,6527085,5.05839729309082,2018-07-14
"1195",456775,6527085,5.05839729309082,2018-07-14
"1196",456785,6527085,4.96637058258057,2018-07-14
"1197",456795,6527085,4.96637058258057,2018-07-14
"1198",456805,6527085,4.91799068450928,2018-07-14
"1199",456815,6527085,4.91799068450928,2018-07-14
"1200",456825,6527085,4.70030879974365,2018-07-14
"1201",456835,6527085,4.70030879974365,2018-07-14
"1202",456845,6527085,4.33825540542603,2018-07-14
"1206",456885,6527085,4.29970073699951,2018-07-14
"1207",456895,6527085,4.29970073699951,2018-07-14
"1208",456905,6527085,4.15104103088379,2018-07-14
"1209",456915,6527085,4.15104103088379,2018-07-14
"1210",456925,6527085,2.85106134414673,2018-07-14
"1211",456935,6527085,2.85106134414673,2018-07-14
"1222",457045,6527085,2.53480386734009,2018-07-14
"1223",457055,6527085,2.53480386734009,2018-07-14
"1224",457065,6527085,2.90534591674805,2018-07-14
"1225",457075,6527085,2.90534591674805,2018-07-14
"1226",457085,6527085,3.0625,2018-07-14
"1227",457095,6527085,3.0625,2018-07-14
"1228",457105,6527085,3.09105896949768,2018-07-14
"1229",457115,6527085,3.09105896949768,2018-07-14
"1230",457125,6527085,3.15605401992798,2018-07-14
"1231",457135,6527085,3.15605401992798,2018-07-14
"1232",457145,6527085,3.59230494499207,2018-07-14
"1233",457155,6527085,3.59230494499207,2018-07-14
"1234",457165,6527085,3.92929887771606,2018-07-14
"1235",457175,6527085,3.92929887771606,2018-07-14
"1236",457185,6527085,3.9058690071106,2018-07-14
"1237",457195,6527085,3.9058690071106,2018-07-14
"1238",457205,6527085,4.25096368789673,2018-07-14
"1319",456615,6527075,5.27451372146606,2018-07-14
"1320",456625,6527075,5.06559658050537,2018-07-14
"1321",456635,6527075,5.06559658050537,2018-07-14
"1322",456645,6527075,4.88392114639282,2018-07-14
"1323",456655,6527075,4.88392114639282,2018-07-14
"1324",456665,6527075,4.73866081237793,2018-07-14
"1325",456675,6527075,4.73866081237793,2018-07-14
"1326",456685,6527075,4.6375412940979,2018-07-14
"1327",456695,6527075,4.6375412940979,2018-07-14
"1328",456705,6527075,4.66874694824219,2018-07-14
"1329",456715,6527075,4.66874694824219,2018-07-14
"1330",456725,6527075,4.89750099182129,2018-07-14
"1331",456735,6527075,4.89750099182129,2018-07-14
"1332",456745,6527075,4.72581815719604,2018-07-14
"1333",456755,6527075,4.72581815719604,2018-07-14
"1334",456765,6527075,4.69396734237671,2018-07-14
"1335",456775,6527075,4.69396734237671,2018-07-14
"1336",456785,6527075,4.79718971252441,2018-07-14
"1337",456795,6527075,4.79718971252441,2018-07-14
"1338",456805,6527075,4.53402423858643,2018-07-14
"1339",456815,6527075,4.53402423858643,2018-07-14
"1340",456825,6527075,4.24560546875,2018-07-14
"1341",456835,6527075,4.24560546875,2018-07-14
"1342",456845,6527075,4.05495500564575,2018-07-14
"1345",456875,6527075,3.90121054649353,2018-07-14
"1346",456885,6527075,4.01071739196777,2018-07-14
"1347",456895,6527075,4.01071739196777,2018-07-14
"1348",456905,6527075,3.19273138046265,2018-07-14
"1349",456915,6527075,3.19273138046265,2018-07-14
"1350",456925,6527075,1.63409698009491,2018-07-14
"1362",457045,6527075,2.46358060836792,2018-07-14
"1363",457055,6527075,2.46358060836792,2018-07-14
"1364",457065,6527075,2.64894819259644,2018-07-14
"1365",457075,6527075,2.64894819259644,2018-07-14
"1366",457085,6527075,2.88229393959045,2018-07-14
"1367",457095,6527075,2.88229393959045,2018-07-14
"1368",457105,6527075,2.94935369491577,2018-07-14
"1369",457115,6527075,2.94935369491577,2018-07-14
"1370",457125,6527075,2.96126627922058,2018-07-14
"1371",457135,6527075,2.96126627922058,2018-07-14
"1372",457145,6527075,3.19273138046265,2018-07-14
"1373",457155,6527075,3.19273138046265,2018-07-14
"1374",457165,6527075,3.45820832252502,2018-07-14
"1375",457175,6527075,3.45820832252502,2018-07-14
"1376",457185,6527075,3.61273503303528,2018-07-14
"1377",457195,6527075,3.61273503303528,2018-07-14
"1378",457205,6527075,3.78764843940735,2018-07-14
"1379",457215,6527075,3.78764843940735,2018-07-14
"1380",457225,6527075,4.27251005172729,2018-07-14
"1449",456515,6527065,5.77564477920532,2018-07-14
"1450",456525,6527065,5.34482002258301,2018-07-14
"1451",456535,6527065,5.34482002258301,2018-07-14
"1452",456545,6527065,4.87715578079224,2018-07-14
"1453",456555,6527065,4.87715578079224,2018-07-14
"1454",456565,6527065,4.87715578079224,2018-07-14
"1455",456575,6527065,4.87715578079224,2018-07-14
"1456",456585,6527065,4.95246553421021,2018-07-14
"1457",456595,6527065,4.95246553421021,2018-07-14
"1458",456605,6527065,5.27451372146606,2018-07-14
"1459",456615,6527065,5.27451372146606,2018-07-14
"1460",456625,6527065,5.06559658050537,2018-07-14
"1461",456635,6527065,5.06559658050537,2018-07-14
"1462",456645,6527065,4.88392114639282,2018-07-14
"1463",456655,6527065,4.88392114639282,2018-07-14
"1464",456665,6527065,4.73866081237793,2018-07-14
"1465",456675,6527065,4.73866081237793,2018-07-14
"1466",456685,6527065,4.6375412940979,2018-07-14
"1467",456695,6527065,4.6375412940979,2018-07-14
"1468",456705,6527065,4.66874694824219,2018-07-14
"1469",456715,6527065,4.66874694824219,2018-07-14
"1470",456725,6527065,4.89750099182129,2018-07-14
"1471",456735,6527065,4.89750099182129,2018-07-14
"1472",456745,6527065,4.72581815719604,2018-07-14
"1473",456755,6527065,4.72581815719604,2018-07-14
"1474",456765,6527065,4.69396734237671,2018-07-14
"1475",456775,6527065,4.69396734237671,2018-07-14
"1476",456785,6527065,4.79718971252441,2018-07-14
"1477",456795,6527065,4.79718971252441,2018-07-14
"1478",456805,6527065,4.53402423858643,2018-07-14
"1479",456815,6527065,4.53402423858643,2018-07-14
"1480",456825,6527065,4.24560546875,2018-07-14
"1481",456835,6527065,4.24560546875,2018-07-14
"1482",456845,6527065,4.05495500564575,2018-07-14
"1483",456855,6527065,4.05495500564575,2018-07-14
"1484",456865,6527065,3.90121054649353,2018-07-14
"1485",456875,6527065,3.90121054649353,2018-07-14
"1486",456885,6527065,4.01071739196777,2018-07-14
"1487",456895,6527065,4.01071739196777,2018-07-14
"1488",456905,6527065,3.19273138046265,2018-07-14
"1489",456915,6527065,3.19273138046265,2018-07-14
"1502",457045,6527065,2.46358060836792,2018-07-14
"1503",457055,6527065,2.46358060836792,2018-07-14
"1504",457065,6527065,2.64894819259644,2018-07-14
"1505",457075,6527065,2.64894819259644,2018-07-14
"1506",457085,6527065,2.88229393959045,2018-07-14
"1507",457095,6527065,2.88229393959045,2018-07-14
"1508",457105,6527065,2.94935369491577,2018-07-14
"1509",457115,6527065,2.94935369491577,2018-07-14
