"","x","y","STR","Date"
"234",456965,6527155,5.3290581703186,2018-05-15
"235",456975,6527155,5.3290581703186,2018-05-15
"236",456985,6527155,5.41675090789795,2018-05-15
"237",456995,6527155,5.41675090789795,2018-05-15
"238",457005,6527155,5.29777240753174,2018-05-15
"239",457015,6527155,5.29777240753174,2018-05-15
"240",457025,6527155,5.36861371994019,2018-05-15
"241",457035,6527155,5.36861371994019,2018-05-15
"242",457045,6527155,5.50695562362671,2018-05-15
"243",457055,6527155,5.50695562362671,2018-05-15
"244",457065,6527155,5.21333932876587,2018-05-15
"245",457075,6527155,5.21333932876587,2018-05-15
"371",456935,6527145,5.49864864349365,2018-05-15
"372",456945,6527145,5.35273122787476,2018-05-15
"373",456955,6527145,5.35273122787476,2018-05-15
"374",456965,6527145,5.3290581703186,2018-05-15
"375",456975,6527145,5.3290581703186,2018-05-15
"376",456985,6527145,5.41675090789795,2018-05-15
"377",456995,6527145,5.41675090789795,2018-05-15
"378",457005,6527145,5.29777240753174,2018-05-15
"379",457015,6527145,5.29777240753174,2018-05-15
"380",457025,6527145,5.36861371994019,2018-05-15
"381",457035,6527145,5.36861371994019,2018-05-15
"382",457045,6527145,5.50695562362671,2018-05-15
"383",457055,6527145,5.50695562362671,2018-05-15
"384",457065,6527145,5.21333932876587,2018-05-15
"385",457075,6527145,5.21333932876587,2018-05-15
"386",457085,6527145,4.92485284805298,2018-05-15
"387",457095,6527145,4.92485284805298,2018-05-15
"388",457105,6527145,5.1907114982605,2018-05-15
"508",456905,6527135,5.66899967193604,2018-05-15
"509",456915,6527135,5.66899967193604,2018-05-15
"510",456925,6527135,5.1682505607605,2018-05-15
"511",456935,6527135,5.1682505607605,2018-05-15
"512",456945,6527135,5.28999996185303,2018-05-15
"513",456955,6527135,5.28999996185303,2018-05-15
"514",456965,6527135,5.35273122787476,2018-05-15
"515",456975,6527135,5.35273122787476,2018-05-15
"516",456985,6527135,5.42484617233276,2018-05-15
"517",456995,6527135,5.42484617233276,2018-05-15
"518",457005,6527135,5.28999996185303,2018-05-15
"519",457015,6527135,5.28999996185303,2018-05-15
"520",457025,6527135,4.89070320129395,2018-05-15
"521",457035,6527135,4.89070320129395,2018-05-15
"522",457045,6527135,4.61282873153687,2018-05-15
"523",457055,6527135,4.61282873153687,2018-05-15
"524",457065,6527135,4.46909332275391,2018-05-15
"525",457075,6527135,4.46909332275391,2018-05-15
"526",457085,6527135,4.48664665222168,2018-05-15
"527",457095,6527135,4.48664665222168,2018-05-15
"528",457105,6527135,4.75156259536743,2018-05-15
"529",457115,6527135,4.75156259536743,2018-05-15
"530",457125,6527135,4.71303415298462,2018-05-15
"647",456895,6527125,5.76662540435791,2018-05-15
"648",456905,6527125,5.66899967193604,2018-05-15
"649",456915,6527125,5.66899967193604,2018-05-15
"650",456925,6527125,5.1682505607605,2018-05-15
"651",456935,6527125,5.1682505607605,2018-05-15
"652",456945,6527125,5.28999996185303,2018-05-15
"653",456955,6527125,5.28999996185303,2018-05-15
"654",456965,6527125,5.35273122787476,2018-05-15
"655",456975,6527125,5.35273122787476,2018-05-15
"656",456985,6527125,5.42484617233276,2018-05-15
"657",456995,6527125,5.42484617233276,2018-05-15
"658",457005,6527125,5.28999996185303,2018-05-15
"659",457015,6527125,5.28999996185303,2018-05-15
"660",457025,6527125,4.89070320129395,2018-05-15
"661",457035,6527125,4.89070320129395,2018-05-15
"662",457045,6527125,4.61282873153687,2018-05-15
"663",457055,6527125,4.61282873153687,2018-05-15
"664",457065,6527125,4.46909332275391,2018-05-15
"665",457075,6527125,4.46909332275391,2018-05-15
"666",457085,6527125,4.48664665222168,2018-05-15
"667",457095,6527125,4.48664665222168,2018-05-15
"668",457105,6527125,4.75156259536743,2018-05-15
"669",457115,6527125,4.75156259536743,2018-05-15
"670",457125,6527125,4.71303415298462,2018-05-15
"671",457135,6527125,4.71303415298462,2018-05-15
"672",457145,6527125,5.02266120910645,2018-05-15
"785",456875,6527115,5.38457775115967,2018-05-15
"786",456885,6527115,5.48209857940674,2018-05-15
"787",456895,6527115,5.48209857940674,2018-05-15
"788",456905,6527115,5.48209857940674,2018-05-15
"789",456915,6527115,5.48209857940674,2018-05-15
"790",456925,6527115,5.1907114982605,2018-05-15
"791",456935,6527115,5.1907114982605,2018-05-15
"792",456945,6527115,5.09456872940063,2018-05-15
"793",456955,6527115,5.09456872940063,2018-05-15
"794",456965,6527115,5.05839729309082,2018-05-15
"795",456975,6527115,5.05839729309082,2018-05-15
"796",456985,6527115,5.06559658050537,2018-05-15
"797",456995,6527115,5.06559658050537,2018-05-15
"798",457005,6527115,5.22851896286011,2018-05-15
"799",457015,6527115,5.22851896286011,2018-05-15
"800",457025,6527115,4.52805614471436,2018-05-15
"801",457035,6527115,4.52805614471436,2018-05-15
"802",457045,6527115,4.24560546875,2018-05-15
"803",457055,6527115,4.24560546875,2018-05-15
"804",457065,6527115,4.2671070098877,2018-05-15
"805",457075,6527115,4.2671070098877,2018-05-15
"806",457085,6527115,4.35495567321777,2018-05-15
"807",457095,6527115,4.35495567321777,2018-05-15
"808",457105,6527115,4.29970073699951,2018-05-15
"809",457115,6527115,4.29970073699951,2018-05-15
"810",457125,6527115,4.31615400314331,2018-05-15
"811",457135,6527115,4.31615400314331,2018-05-15
"812",457145,6527115,4.62515735626221,2018-05-15
"813",457155,6527115,4.62515735626221,2018-05-15
"814",457165,6527115,4.75156259536743,2018-05-15
"923",456855,6527105,5.74865913391113,2018-05-15
"924",456865,6527105,5.38457775115967,2018-05-15
"925",456875,6527105,5.38457775115967,2018-05-15
"926",456885,6527105,5.48209857940674,2018-05-15
"927",456895,6527105,5.48209857940674,2018-05-15
"928",456905,6527105,5.48209857940674,2018-05-15
"929",456915,6527105,5.48209857940674,2018-05-15
"930",456925,6527105,5.1907114982605,2018-05-15
"931",456935,6527105,5.1907114982605,2018-05-15
"932",456945,6527105,5.09456872940063,2018-05-15
"933",456955,6527105,5.09456872940063,2018-05-15
"934",456965,6527105,5.05839729309082,2018-05-15
"935",456975,6527105,5.05839729309082,2018-05-15
"936",456985,6527105,5.06559658050537,2018-05-15
"937",456995,6527105,5.06559658050537,2018-05-15
"938",457005,6527105,5.22851896286011,2018-05-15
"939",457015,6527105,5.22851896286011,2018-05-15
"940",457025,6527105,4.52805614471436,2018-05-15
"941",457035,6527105,4.52805614471436,2018-05-15
"942",457045,6527105,4.24560546875,2018-05-15
"943",457055,6527105,4.24560546875,2018-05-15
"944",457065,6527105,4.2671070098877,2018-05-15
"945",457075,6527105,4.2671070098877,2018-05-15
"946",457085,6527105,4.35495567321777,2018-05-15
"947",457095,6527105,4.35495567321777,2018-05-15
"948",457105,6527105,4.29970073699951,2018-05-15
"949",457115,6527105,4.29970073699951,2018-05-15
"950",457125,6527105,4.31615400314331,2018-05-15
"951",457135,6527105,4.31615400314331,2018-05-15
"952",457145,6527105,4.62515735626221,2018-05-15
"953",457155,6527105,4.62515735626221,2018-05-15
"954",457165,6527105,4.75156259536743,2018-05-15
"955",457175,6527105,4.75156259536743,2018-05-15
"1062",456845,6527095,5.24377393722534,2018-05-15
"1063",456855,6527095,5.24377393722534,2018-05-15
"1064",456865,6527095,4.91114473342896,2018-05-15
"1065",456875,6527095,4.91114473342896,2018-05-15
