"","x","y","STR","Date"
"2649",457315,6526985,3.1494574546814,2018-07-21
"2787",457295,6526975,2.6067681312561,2018-07-21
"2790",457325,6526975,3.15605401992798,2018-07-21
"3064",457265,6526955,2.46583008766174,2018-07-21
"3203",457255,6526945,2.5254385471344,2018-07-21
"3204",457265,6526945,2.46583008766174,2018-07-21
"3343",457255,6526935,2.45685005187988,2018-07-21
"3344",457265,6526935,2.27114796638489,2018-07-21
"3655",456175,6526905,3.0593523979187,2018-07-21
"3656",456185,6526905,2.69993185997009,2018-07-21
"3795",456175,6526895,3.31050062179565,2018-07-21
"3796",456185,6526895,2.73388910293579,2018-07-21
"3932",456145,6526885,3.25076484680176,2018-07-21
"3933",456155,6526885,3.25076484680176,2018-07-21
"3934",456165,6526885,3.31050062179565,2018-07-21
"3935",456175,6526885,3.31050062179565,2018-07-21
"3936",456185,6526885,2.73388910293579,2018-07-21
"3939",456215,6526885,2.14532542228699,2018-07-21
"4072",456145,6526875,3.23695945739746,2018-07-21
"4073",456155,6526875,3.23695945739746,2018-07-21
"4074",456165,6526875,3.1494574546814,2018-07-21
"4075",456175,6526875,3.1494574546814,2018-07-21
"4076",456185,6526875,2.45461249351501,2018-07-21
"4078",456205,6526875,2.10212373733521,2018-07-21
"4211",456135,6526865,3.16267275810242,2018-07-21
"4212",456145,6526865,3.23695945739746,2018-07-21
"4213",456155,6526865,3.23695945739746,2018-07-21
"4214",456165,6526865,3.1494574546814,2018-07-21
"4215",456175,6526865,3.1494574546814,2018-07-21
"4216",456185,6526865,2.45461249351501,2018-07-21
"4217",456195,6526865,2.45461249351501,2018-07-21
"4218",456205,6526865,2.10212373733521,2018-07-21
"4351",456135,6526855,3.11680006980896,2018-07-21
"4352",456145,6526855,3.22324728965759,2018-07-21
"4353",456155,6526855,3.22324728965759,2018-07-21
"4354",456165,6526855,2.9257538318634,2018-07-21
"4355",456175,6526855,2.9257538318634,2018-07-21
"4356",456185,6526855,2.17485952377319,2018-07-21
"4357",456195,6526855,2.17485952377319,2018-07-21
"4491",456135,6526845,3.11680006980896,2018-07-21
"4492",456145,6526845,3.22324728965759,2018-07-21
"4493",456155,6526845,3.22324728965759,2018-07-21
"4494",456165,6526845,2.9257538318634,2018-07-21
"4495",456175,6526845,2.9257538318634,2018-07-21
"4496",456185,6526845,2.17485952377319,2018-07-21
"4497",456195,6526845,2.17485952377319,2018-07-21
"4631",456135,6526835,3.23695945739746,2018-07-21
"4632",456145,6526835,3.29275012016296,2018-07-21
"4633",456155,6526835,3.29275012016296,2018-07-21
"4634",456165,6526835,2.87943267822266,2018-07-21
"4635",456175,6526835,2.87943267822266,2018-07-21
"4636",456185,6526835,2.31349611282349,2018-07-21
"4637",456195,6526835,2.31349611282349,2018-07-21
"4638",456205,6526835,1.78957176208496,2018-07-21
"4771",456135,6526825,3.23695945739746,2018-07-21
"4772",456145,6526825,3.29275012016296,2018-07-21
"4773",456155,6526825,3.29275012016296,2018-07-21
"4774",456165,6526825,2.87943267822266,2018-07-21
"4775",456175,6526825,2.87943267822266,2018-07-21
"4913",456155,6526815,3.15275311470032,2018-07-21
"4914",456165,6526815,2.48621916770935,2018-07-21
"4915",456175,6526815,2.48621916770935,2018-07-21
"5460",457425,6526785,2.64393138885498,2018-07-21
"5579",457215,6526775,2.20881128311157,2018-07-21
"5599",457415,6526775,2.34030747413635,2018-07-21
"5600",457425,6526775,2.65146207809448,2018-07-21
"5618",456205,6526765,1.51895892620087,2018-07-21
"5718",457205,6526765,2.20881128311157,2018-07-21
"5719",457215,6526765,2.20881128311157,2018-07-21
"5720",457225,6526765,2.03629374504089,2018-07-21
"5721",457235,6526765,2.03629374504089,2018-07-21
"5731",457335,6526765,2.10567474365234,2018-07-21
"5732",457345,6526765,2.09858155250549,2018-07-21
"5733",457355,6526765,2.09858155250549,2018-07-21
"5734",457365,6526765,2.19173789024353,2018-07-21
"5735",457375,6526765,2.19173789024353,2018-07-21
"5736",457385,6526765,2.31349611282349,2018-07-21
"5737",457395,6526765,2.31349611282349,2018-07-21
"5738",457405,6526765,2.34030747413635,2018-07-21
"5739",457415,6526765,2.34030747413635,2018-07-21
