"","x","y","NDVI","Date"
"234",456965,6527155,0.671729981899261,2018-05-12
"235",456975,6527155,0.692242503166199,2018-05-12
"236",456985,6527155,0.678296327590942,2018-05-12
"237",456995,6527155,0.685585558414459,2018-05-12
"238",457005,6527155,0.688123285770416,2018-05-12
"239",457015,6527155,0.688661694526672,2018-05-12
"240",457025,6527155,0.666513979434967,2018-05-12
"241",457035,6527155,0.684676706790924,2018-05-12
"242",457045,6527155,0.695550322532654,2018-05-12
"243",457055,6527155,0.708897471427917,2018-05-12
"244",457065,6527155,0.695210456848145,2018-05-12
"245",457075,6527155,0.704618215560913,2018-05-12
"371",456935,6527145,0.696312367916107,2018-05-12
"372",456945,6527145,0.698371887207031,2018-05-12
"373",456955,6527145,0.705782294273376,2018-05-12
"374",456965,6527145,0.70434033870697,2018-05-12
"375",456975,6527145,0.688232719898224,2018-05-12
"376",456985,6527145,0.697130262851715,2018-05-12
"377",456995,6527145,0.696122646331787,2018-05-12
"378",457005,6527145,0.695767223834991,2018-05-12
"379",457015,6527145,0.667405784130096,2018-05-12
"380",457025,6527145,0.668677508831024,2018-05-12
"381",457035,6527145,0.680209696292877,2018-05-12
"382",457045,6527145,0.69332081079483,2018-05-12
"383",457055,6527145,0.691718518733978,2018-05-12
"384",457065,6527145,0.693718492984772,2018-05-12
"385",457075,6527145,0.688888907432556,2018-05-12
"386",457085,6527145,0.68104088306427,2018-05-12
"387",457095,6527145,0.677609741687775,2018-05-12
"388",457105,6527145,0.690196096897125,2018-05-12
"508",456905,6527135,0.708279728889465,2018-05-12
"509",456915,6527135,0.697231829166412,2018-05-12
"510",456925,6527135,0.690860211849213,2018-05-12
"511",456935,6527135,0.694745600223541,2018-05-12
"512",456945,6527135,0.689979553222656,2018-05-12
"513",456955,6527135,0.693246185779572,2018-05-12
"514",456965,6527135,0.708729445934296,2018-05-12
"515",456975,6527135,0.679860830307007,2018-05-12
"516",456985,6527135,0.68575119972229,2018-05-12
"517",456995,6527135,0.67641681432724,2018-05-12
"518",457005,6527135,0.681605994701385,2018-05-12
"519",457015,6527135,0.68416166305542,2018-05-12
"520",457025,6527135,0.68210631608963,2018-05-12
"521",457035,6527135,0.660291433334351,2018-05-12
"522",457045,6527135,0.677534639835358,2018-05-12
"523",457055,6527135,0.689625859260559,2018-05-12
"524",457065,6527135,0.684291183948517,2018-05-12
"525",457075,6527135,0.663952648639679,2018-05-12
"526",457085,6527135,0.649662435054779,2018-05-12
"527",457095,6527135,0.65473347902298,2018-05-12
"528",457105,6527135,0.66111820936203,2018-05-12
"529",457115,6527135,0.698701322078705,2018-05-12
"530",457125,6527135,0.693225383758545,2018-05-12
"647",456895,6527125,0.702068984508514,2018-05-12
"648",456905,6527125,0.695116400718689,2018-05-12
"649",456915,6527125,0.692098081111908,2018-05-12
"650",456925,6527125,0.708217918872833,2018-05-12
"651",456935,6527125,0.693701446056366,2018-05-12
"652",456945,6527125,0.679221332073212,2018-05-12
"653",456955,6527125,0.685136318206787,2018-05-12
"654",456965,6527125,0.701974868774414,2018-05-12
"655",456975,6527125,0.68711656332016,2018-05-12
"656",456985,6527125,0.689149558544159,2018-05-12
"657",456995,6527125,0.706312894821167,2018-05-12
"658",457005,6527125,0.689013063907623,2018-05-12
"659",457015,6527125,0.688346862792969,2018-05-12
"660",457025,6527125,0.673506617546082,2018-05-12
