"","x","y","NDVI","Date"
"243",457055,6527155,0.602955996990204,2018-08-18
"244",457065,6527155,0.586871206760406,2018-08-18
"245",457075,6527155,0.608800292015076,2018-08-18
"383",457055,6527145,0.608596563339233,2018-08-18
"384",457065,6527145,0.628285348415375,2018-08-18
"385",457075,6527145,0.662883102893829,2018-08-18
"386",457085,6527145,0.689146459102631,2018-08-18
"387",457095,6527145,0.673667192459106,2018-08-18
"388",457105,6527145,0.674876868724823,2018-08-18
"523",457055,6527135,0.612300276756287,2018-08-18
"524",457065,6527135,0.646795392036438,2018-08-18
"525",457075,6527135,0.664836585521698,2018-08-18
"526",457085,6527135,0.658562660217285,2018-08-18
"527",457095,6527135,0.627507150173187,2018-08-18
"528",457105,6527135,0.621488094329834,2018-08-18
"529",457115,6527135,0.613657891750336,2018-08-18
"530",457125,6527135,0.609815955162048,2018-08-18
"665",457075,6527125,0.6146160364151,2018-08-18
"666",457085,6527125,0.615384638309479,2018-08-18
"667",457095,6527125,0.598847270011902,2018-08-18
"668",457105,6527125,0.614689588546753,2018-08-18
"669",457115,6527125,0.600467264652252,2018-08-18
"670",457125,6527125,0.596531808376312,2018-08-18
"671",457135,6527125,0.603582084178925,2018-08-18
"672",457145,6527125,0.600925385951996,2018-08-18
"805",457075,6527115,0.588693380355835,2018-08-18
"806",457085,6527115,0.570796489715576,2018-08-18
"807",457095,6527115,0.580698847770691,2018-08-18
"808",457105,6527115,0.590896487236023,2018-08-18
"809",457115,6527115,0.584773063659668,2018-08-18
"810",457125,6527115,0.592527747154236,2018-08-18
"811",457135,6527115,0.583187401294708,2018-08-18
"812",457145,6527115,0.6155606508255,2018-08-18
"813",457155,6527115,0.600950121879578,2018-08-18
"814",457165,6527115,0.618244290351868,2018-08-18
"945",457075,6527105,0.562627732753754,2018-08-18
"946",457085,6527105,0.570271015167236,2018-08-18
"947",457095,6527105,0.58688896894455,2018-08-18
"948",457105,6527105,0.590443670749664,2018-08-18
"949",457115,6527105,0.582430481910706,2018-08-18
"950",457125,6527105,0.590097844600677,2018-08-18
"951",457135,6527105,0.577032387256622,2018-08-18
"952",457145,6527105,0.586931169033051,2018-08-18
"953",457155,6527105,0.590449929237366,2018-08-18
"954",457165,6527105,0.603480398654938,2018-08-18
"955",457175,6527105,0.594738483428955,2018-08-18
"1084",457065,6527095,0.55863344669342,2018-08-18
"1085",457075,6527095,0.543964207172394,2018-08-18
"1086",457085,6527095,0.574223220348358,2018-08-18
"1087",457095,6527095,0.569498658180237,2018-08-18
"1088",457105,6527095,0.571844100952148,2018-08-18
"1089",457115,6527095,0.575618147850037,2018-08-18
"1090",457125,6527095,0.567884027957916,2018-08-18
"1091",457135,6527095,0.560865879058838,2018-08-18
"1092",457145,6527095,0.571797072887421,2018-08-18
"1093",457155,6527095,0.585365831851959,2018-08-18
"1094",457165,6527095,0.579468131065369,2018-08-18
"1095",457175,6527095,0.588975429534912,2018-08-18
"1096",457185,6527095,0.618072271347046,2018-08-18
"1097",457195,6527095,0.607328236103058,2018-08-18
"1225",457075,6527085,0.528571426868439,2018-08-18
"1226",457085,6527085,0.562812566757202,2018-08-18
"1227",457095,6527085,0.573870599269867,2018-08-18
"1228",457105,6527085,0.580482006072998,2018-08-18
"1229",457115,6527085,0.567662537097931,2018-08-18
"1230",457125,6527085,0.550233662128448,2018-08-18
"1231",457135,6527085,0.560779809951782,2018-08-18
"1232",457145,6527085,0.561308681964874,2018-08-18
"1233",457155,6527085,0.567146301269531,2018-08-18
"1234",457165,6527085,0.575684607028961,2018-08-18
"1235",457175,6527085,0.598318815231323,2018-08-18
"1236",457185,6527085,0.624622821807861,2018-08-18
"1237",457195,6527085,0.587933659553528,2018-08-18
"1238",457205,6527085,0.575683891773224,2018-08-18
"1365",457075,6527075,0.495875358581543,2018-08-18
"1366",457085,6527075,0.527938902378082,2018-08-18
"1367",457095,6527075,0.539125084877014,2018-08-18
"1368",457105,6527075,0.557739555835724,2018-08-18
"1369",457115,6527075,0.555023908615112,2018-08-18
"1370",457125,6527075,0.548082590103149,2018-08-18
"1371",457135,6527075,0.566912829875946,2018-08-18
"1372",457145,6527075,0.567034959793091,2018-08-18
"1373",457155,6527075,0.557792007923126,2018-08-18
"1374",457165,6527075,0.564232468605042,2018-08-18
"1375",457175,6527075,0.604960143566132,2018-08-18
"1376",457185,6527075,0.611590623855591,2018-08-18
"1377",457195,6527075,0.579956710338593,2018-08-18
"1378",457205,6527075,0.596053063869476,2018-08-18
"1379",457215,6527075,0.582336723804474,2018-08-18
"1380",457225,6527075,0.603686630725861,2018-08-18
"1506",457085,6527065,0.500595927238464,2018-08-18
"1507",457095,6527065,0.517199397087097,2018-08-18
"1508",457105,6527065,0.530068218708038,2018-08-18
"1509",457115,6527065,0.545619308948517,2018-08-18
"1510",457125,6527065,0.543221116065979,2018-08-18
"1511",457135,6527065,0.55853658914566,2018-08-18
"1512",457145,6527065,0.563946425914764,2018-08-18
"1513",457155,6527065,0.577464759349823,2018-08-18
"1514",457165,6527065,0.574431300163269,2018-08-18
"1515",457175,6527065,0.58253276348114,2018-08-18
"1516",457185,6527065,0.572585642337799,2018-08-18
"1517",457195,6527065,0.582232892513275,2018-08-18
"1518",457205,6527065,0.606585323810577,2018-08-18
"1519",457215,6527065,0.596412539482117,2018-08-18
"1520",457225,6527065,0.596118867397308,2018-08-18
"1521",457235,6527065,0.581735134124756,2018-08-18
"1647",457095,6527055,0.454444766044617,2018-08-18
"1648",457105,6527055,0.475136548280716,2018-08-18
"1649",457115,6527055,0.528089880943298,2018-08-18
"1650",457125,6527055,0.531713128089905,2018-08-18
"1651",457135,6527055,0.533933937549591,2018-08-18
"1652",457145,6527055,0.561034262180328,2018-08-18
"1653",457155,6527055,0.583107113838196,2018-08-18
"1654",457165,6527055,0.574999988079071,2018-08-18
"1655",457175,6527055,0.577135860919952,2018-08-18
"1656",457185,6527055,0.56620728969574,2018-08-18
"1657",457195,6527055,0.584584891796112,2018-08-18
"1658",457205,6527055,0.588388979434967,2018-08-18
"1659",457215,6527055,0.599033832550049,2018-08-18
"1660",457225,6527055,0.599282324314117,2018-08-18
"1661",457235,6527055,0.603582084178925,2018-08-18
"1662",457245,6527055,0.606796145439148,2018-08-18
"1787",457095,6527045,0.457079142332077,2018-08-18
"1788",457105,6527045,0.481188118457794,2018-08-18
"1789",457115,6527045,0.483108103275299,2018-08-18
"1790",457125,6527045,0.519519507884979,2018-08-18
"1791",457135,6527045,0.543071150779724,2018-08-18
"1792",457145,6527045,0.568160474300385,2018-08-18
"1793",457155,6527045,0.5743368268013,2018-08-18
"1794",457165,6527045,0.577499985694885,2018-08-18
"1795",457175,6527045,0.603485822677612,2018-08-18
"1796",457185,6527045,0.575686037540436,2018-08-18
"1797",457195,6527045,0.570593178272247,2018-08-18
"1798",457205,6527045,0.578884959220886,2018-08-18
"1799",457215,6527045,0.578512370586395,2018-08-18
"1800",457225,6527045,0.598823547363281,2018-08-18
"1801",457235,6527045,0.612012028694153,2018-08-18
"1802",457245,6527045,0.598553359508514,2018-08-18
"1803",457255,6527045,0.580335736274719,2018-08-18
"1925",457075,6527035,0.51744532585144,2018-08-18
"1926",457085,6527035,0.508433759212494,2018-08-18
"1927",457095,6527035,0.503015697002411,2018-08-18
"1928",457105,6527035,0.508633732795715,2018-08-18
"1929",457115,6527035,0.519063353538513,2018-08-18
"1930",457125,6527035,0.548264980316162,2018-08-18
"1931",457135,6527035,0.570981860160828,2018-08-18
"1932",457145,6527035,0.584743142127991,2018-08-18
"1933",457155,6527035,0.576208174228668,2018-08-18
"1934",457165,6527035,0.575063586235046,2018-08-18
"1935",457175,6527035,0.584810137748718,2018-08-18
"1936",457185,6527035,0.549955546855927,2018-08-18
"1937",457195,6527035,0.547453701496124,2018-08-18
"1938",457205,6527035,0.575975954532623,2018-08-18
"1939",457215,6527035,0.593180477619171,2018-08-18
"1940",457225,6527035,0.604930996894836,2018-08-18
"1941",457235,6527035,0.614219129085541,2018-08-18
"1942",457245,6527035,0.598355829715729,2018-08-18
"1943",457255,6527035,0.583916068077087,2018-08-18
"1944",457265,6527035,0.582783341407776,2018-08-18
