"","x","y","NDVI","Date"
"2649",457315,6526985,0.609573662281036,2018-07-21
"2787",457295,6526975,0.5546875,2018-07-21
"2790",457325,6526975,0.580769240856171,2018-07-21
"3064",457265,6526955,0.531070470809937,2018-07-21
"3203",457255,6526945,0.538787424564362,2018-07-21
"3204",457265,6526945,0.543712258338928,2018-07-21
"3343",457255,6526935,0.561280250549316,2018-07-21
"3344",457265,6526935,0.556169867515564,2018-07-21
"3655",456175,6526905,0.575368165969849,2018-07-21
"3656",456185,6526905,0.584843516349792,2018-07-21
"3795",456175,6526895,0.542449116706848,2018-07-21
"3796",456185,6526895,0.536200344562531,2018-07-21
"3932",456145,6526885,0.528696119785309,2018-07-21
"3933",456155,6526885,0.516885817050934,2018-07-21
"3934",456165,6526885,0.536058306694031,2018-07-21
"3935",456175,6526885,0.551930367946625,2018-07-21
"3936",456185,6526885,0.547189295291901,2018-07-21
"3939",456215,6526885,0.524941861629486,2018-07-21
"4072",456145,6526875,0.532141923904419,2018-07-21
"4073",456155,6526875,0.531550824642181,2018-07-21
"4074",456165,6526875,0.56175297498703,2018-07-21
"4075",456175,6526875,0.587107539176941,2018-07-21
"4076",456185,6526875,0.550572991371155,2018-07-21
"4078",456205,6526875,0.506583869457245,2018-07-21
"4211",456135,6526865,0.550471067428589,2018-07-21
"4212",456145,6526865,0.544640421867371,2018-07-21
"4213",456155,6526865,0.543705344200134,2018-07-21
"4214",456165,6526865,0.559157192707062,2018-07-21
"4215",456175,6526865,0.573296248912811,2018-07-21
"4216",456185,6526865,0.541547298431396,2018-07-21
"4217",456195,6526865,0.531140685081482,2018-07-21
"4218",456205,6526865,0.527074038982391,2018-07-21
"4351",456135,6526855,0.568248867988586,2018-07-21
"4352",456145,6526855,0.570113718509674,2018-07-21
"4353",456155,6526855,0.55890566110611,2018-07-21
"4354",456165,6526855,0.557158708572388,2018-07-21
"4355",456175,6526855,0.582241237163544,2018-07-21
"4356",456185,6526855,0.557678878307343,2018-07-21
"4357",456195,6526855,0.541240811347961,2018-07-21
"4491",456135,6526845,0.562618851661682,2018-07-21
"4492",456145,6526845,0.586264193058014,2018-07-21
"4493",456155,6526845,0.595486581325531,2018-07-21
"4494",456165,6526845,0.591745674610138,2018-07-21
"4495",456175,6526845,0.602704107761383,2018-07-21
"4496",456185,6526845,0.599804997444153,2018-07-21
"4497",456195,6526845,0.58165043592453,2018-07-21
"4631",456135,6526835,0.585173070430756,2018-07-21
"4632",456145,6526835,0.598656594753265,2018-07-21
"4633",456155,6526835,0.609685778617859,2018-07-21
"4634",456165,6526835,0.605032801628113,2018-07-21
"4635",456175,6526835,0.61019492149353,2018-07-21
"4636",456185,6526835,0.604581654071808,2018-07-21
"4637",456195,6526835,0.588385105133057,2018-07-21
"4638",456205,6526835,0.569304585456848,2018-07-21
"4771",456135,6526825,0.60681939125061,2018-07-21
"4772",456145,6526825,0.614940941333771,2018-07-21
"4773",456155,6526825,0.620524406433105,2018-07-21
"4774",456165,6526825,0.6117103099823,2018-07-21
"4775",456175,6526825,0.603317856788635,2018-07-21
"4913",456155,6526815,0.611226618289948,2018-07-21
"4914",456165,6526815,0.593212127685547,2018-07-21
"4915",456175,6526815,0.562591314315796,2018-07-21
"5460",457425,6526785,0.490353286266327,2018-07-21
"5579",457215,6526775,0.532617688179016,2018-07-21
"5599",457415,6526775,0.500613808631897,2018-07-21
"5600",457425,6526775,0.512629985809326,2018-07-21
"5618",456205,6526765,0.535204350948334,2018-07-21
"5718",457205,6526765,0.531327605247498,2018-07-21
