"","x","y","NDVI","Date"
"234",456965,6527155,0.727424740791321,2018-08-23
"235",456975,6527155,0.732061386108398,2018-08-23
"236",456985,6527155,0.738661885261536,2018-08-23
"237",456995,6527155,0.722352921962738,2018-08-23
"238",457005,6527155,0.70349907875061,2018-08-23
"239",457015,6527155,0.706516623497009,2018-08-23
"240",457025,6527155,0.705498576164246,2018-08-23
"241",457035,6527155,0.701940059661865,2018-08-23
"242",457045,6527155,0.719156563282013,2018-08-23
"243",457055,6527155,0.73795759677887,2018-08-23
"244",457065,6527155,0.742307662963867,2018-08-23
"245",457075,6527155,0.737198054790497,2018-08-23
"371",456935,6527145,0.739872097969055,2018-08-23
"372",456945,6527145,0.73190575838089,2018-08-23
"373",456955,6527145,0.75636214017868,2018-08-23
"374",456965,6527145,0.743633985519409,2018-08-23
"375",456975,6527145,0.73035717010498,2018-08-23
"376",456985,6527145,0.721201241016388,2018-08-23
"377",456995,6527145,0.71159029006958,2018-08-23
"378",457005,6527145,0.695458590984344,2018-08-23
"379",457015,6527145,0.71479344367981,2018-08-23
"380",457025,6527145,0.706281065940857,2018-08-23
"381",457035,6527145,0.718606770038605,2018-08-23
"382",457045,6527145,0.722463130950928,2018-08-23
"383",457055,6527145,0.72439831495285,2018-08-23
"384",457065,6527145,0.71873527765274,2018-08-23
"385",457075,6527145,0.744034707546234,2018-08-23
"386",457085,6527145,0.74137932062149,2018-08-23
"387",457095,6527145,0.765347898006439,2018-08-23
"388",457105,6527145,0.774127304553986,2018-08-23
"508",456905,6527135,0.74004191160202,2018-08-23
"509",456915,6527135,0.743464052677155,2018-08-23
"510",456925,6527135,0.742200314998627,2018-08-23
"511",456935,6527135,0.756200075149536,2018-08-23
"512",456945,6527135,0.743931114673615,2018-08-23
"513",456955,6527135,0.751867234706879,2018-08-23
"514",456965,6527135,0.735611498355865,2018-08-23
"515",456975,6527135,0.726459324359894,2018-08-23
"516",456985,6527135,0.709857940673828,2018-08-23
"517",456995,6527135,0.731445729732513,2018-08-23
"518",457005,6527135,0.721590936183929,2018-08-23
"519",457015,6527135,0.729995548725128,2018-08-23
"520",457025,6527135,0.733212351799011,2018-08-23
"521",457035,6527135,0.719085395336151,2018-08-23
"522",457045,6527135,0.716251075267792,2018-08-23
"523",457055,6527135,0.73116934299469,2018-08-23
"524",457065,6527135,0.758290350437164,2018-08-23
"525",457075,6527135,0.777703404426575,2018-08-23
"526",457085,6527135,0.762383103370667,2018-08-23
"527",457095,6527135,0.748698890209198,2018-08-23
"528",457105,6527135,0.744288563728333,2018-08-23
"529",457115,6527135,0.729961395263672,2018-08-23
"530",457125,6527135,0.72914046049118,2018-08-23
"647",456895,6527125,0.734537243843079,2018-08-23
"648",456905,6527125,0.745098054409027,2018-08-23
"649",456915,6527125,0.743935286998749,2018-08-23
"650",456925,6527125,0.731526017189026,2018-08-23
"651",456935,6527125,0.722558319568634,2018-08-23
"652",456945,6527125,0.726607024669647,2018-08-23
"653",456955,6527125,0.728163599967957,2018-08-23
"654",456965,6527125,0.735069572925568,2018-08-23
"655",456975,6527125,0.73292738199234,2018-08-23
"656",456985,6527125,0.732876718044281,2018-08-23
"657",456995,6527125,0.717163264751434,2018-08-23
"658",457005,6527125,0.716543197631836,2018-08-23
"659",457015,6527125,0.714285731315613,2018-08-23
"660",457025,6527125,0.720807731151581,2018-08-23
"661",457035,6527125,0.709634840488434,2018-08-23
