"","x","y","NDVI","Date"
"234",456965,6527155,0.671924293041229,2018-05-07
"235",456975,6527155,0.669732809066772,2018-05-07
"236",456985,6527155,0.662983417510986,2018-05-07
"237",456995,6527155,0.677826285362244,2018-05-07
"238",457005,6527155,0.677103698253632,2018-05-07
"239",457015,6527155,0.662481188774109,2018-05-07
"240",457025,6527155,0.64834076166153,2018-05-07
"241",457035,6527155,0.654285728931427,2018-05-07
"242",457045,6527155,0.66213047504425,2018-05-07
"243",457055,6527155,0.664321601390839,2018-05-07
"244",457065,6527155,0.678292572498322,2018-05-07
"245",457075,6527155,0.69851815700531,2018-05-07
"371",456935,6527145,0.657794654369354,2018-05-07
"372",456945,6527145,0.667294979095459,2018-05-07
"373",456955,6527145,0.688687801361084,2018-05-07
"374",456965,6527145,0.679854452610016,2018-05-07
"375",456975,6527145,0.686836004257202,2018-05-07
"376",456985,6527145,0.673094570636749,2018-05-07
"377",456995,6527145,0.68608570098877,2018-05-07
"378",457005,6527145,0.654170572757721,2018-05-07
"379",457015,6527145,0.656867444515228,2018-05-07
"380",457025,6527145,0.664423048496246,2018-05-07
"381",457035,6527145,0.630622029304504,2018-05-07
"382",457045,6527145,0.645833313465118,2018-05-07
"383",457055,6527145,0.668860733509064,2018-05-07
"384",457065,6527145,0.66633266210556,2018-05-07
"385",457075,6527145,0.651238918304443,2018-05-07
"386",457085,6527145,0.581615149974823,2018-05-07
"387",457095,6527145,0.578613877296448,2018-05-07
"388",457105,6527145,0.55849701166153,2018-05-07
"508",456905,6527135,0.694140076637268,2018-05-07
"509",456915,6527135,0.686310887336731,2018-05-07
"510",456925,6527135,0.678373396396637,2018-05-07
"511",456935,6527135,0.6633380651474,2018-05-07
"512",456945,6527135,0.668118476867676,2018-05-07
"513",456955,6527135,0.679894208908081,2018-05-07
"514",456965,6527135,0.67753791809082,2018-05-07
"515",456975,6527135,0.671669781208038,2018-05-07
"516",456985,6527135,0.680958986282349,2018-05-07
"517",456995,6527135,0.671752214431763,2018-05-07
"518",457005,6527135,0.666187047958374,2018-05-07
"519",457015,6527135,0.656329452991486,2018-05-07
"520",457025,6527135,0.663672626018524,2018-05-07
"521",457035,6527135,0.635998010635376,2018-05-07
"522",457045,6527135,0.643373489379883,2018-05-07
"523",457055,6527135,0.662752449512482,2018-05-07
"524",457065,6527135,0.627701818943024,2018-05-07
"525",457075,6527135,0.582878708839417,2018-05-07
"526",457085,6527135,0.578248262405396,2018-05-07
"527",457095,6527135,0.584745764732361,2018-05-07
"528",457105,6527135,0.601092875003815,2018-05-07
"529",457115,6527135,0.655566155910492,2018-05-07
"530",457125,6527135,0.685873627662659,2018-05-07
"647",456895,6527125,0.6845703125,2018-05-07
"648",456905,6527125,0.679149806499481,2018-05-07
"649",456915,6527125,0.697058796882629,2018-05-07
"650",456925,6527125,0.664077699184418,2018-05-07
"651",456935,6527125,0.671259820461273,2018-05-07
"652",456945,6527125,0.668915867805481,2018-05-07
"653",456955,6527125,0.674931108951569,2018-05-07
"654",456965,6527125,0.680148780345917,2018-05-07
"655",456975,6527125,0.662274301052094,2018-05-07
"656",456985,6527125,0.667743444442749,2018-05-07
"657",456995,6527125,0.668921947479248,2018-05-07
"658",457005,6527125,0.696054577827454,2018-05-07
"659",457015,6527125,0.669495761394501,2018-05-07
