"","x","y","NDVI","Date"
"234",456965,6527155,0.63199371099472,2018-05-25
"235",456975,6527155,0.640157461166382,2018-05-25
"236",456985,6527155,0.636736392974854,2018-05-25
"237",456995,6527155,0.634146332740784,2018-05-25
"238",457005,6527155,0.629845798015594,2018-05-25
"239",457015,6527155,0.634861648082733,2018-05-25
"240",457025,6527155,0.648261785507202,2018-05-25
"241",457035,6527155,0.654240071773529,2018-05-25
"242",457045,6527155,0.652864933013916,2018-05-25
"243",457055,6527155,0.636443674564362,2018-05-25
"244",457065,6527155,0.640590071678162,2018-05-25
"245",457075,6527155,0.659316897392273,2018-05-25
"371",456935,6527145,0.668105125427246,2018-05-25
"372",456945,6527145,0.655491352081299,2018-05-25
"373",456955,6527145,0.653156638145447,2018-05-25
"374",456965,6527145,0.654123306274414,2018-05-25
"375",456975,6527145,0.638966202735901,2018-05-25
"376",456985,6527145,0.632822215557098,2018-05-25
"377",456995,6527145,0.624090552330017,2018-05-25
"378",457005,6527145,0.647718191146851,2018-05-25
"379",457015,6527145,0.636140644550323,2018-05-25
"380",457025,6527145,0.654889047145844,2018-05-25
"381",457035,6527145,0.655771613121033,2018-05-25
"382",457045,6527145,0.654706656932831,2018-05-25
"383",457055,6527145,0.664765238761902,2018-05-25
"384",457065,6527145,0.7044917345047,2018-05-25
"385",457075,6527145,0.710782527923584,2018-05-25
"386",457085,6527145,0.709190666675568,2018-05-25
"387",457095,6527145,0.716626822948456,2018-05-25
"388",457105,6527145,0.69568395614624,2018-05-25
"508",456905,6527135,0.652728021144867,2018-05-25
"509",456915,6527135,0.64900928735733,2018-05-25
"510",456925,6527135,0.660098493099213,2018-05-25
"511",456935,6527135,0.663587391376495,2018-05-25
"512",456945,6527135,0.651057422161102,2018-05-25
"513",456955,6527135,0.654379725456238,2018-05-25
"514",456965,6527135,0.653085947036743,2018-05-25
"515",456975,6527135,0.633373439311981,2018-05-25
"516",456985,6527135,0.635555565357208,2018-05-25
"517",456995,6527135,0.630363047122955,2018-05-25
"518",457005,6527135,0.650806784629822,2018-05-25
"519",457015,6527135,0.624896943569183,2018-05-25
"520",457025,6527135,0.639715135097504,2018-05-25
"521",457035,6527135,0.64527028799057,2018-05-25
"522",457045,6527135,0.666666686534882,2018-05-25
"523",457055,6527135,0.704697966575623,2018-05-25
"524",457065,6527135,0.702473759651184,2018-05-25
"525",457075,6527135,0.698088347911835,2018-05-25
"526",457085,6527135,0.654539048671722,2018-05-25
"527",457095,6527135,0.651985585689545,2018-05-25
"528",457105,6527135,0.651503443717957,2018-05-25
"529",457115,6527135,0.666281282901764,2018-05-25
"530",457125,6527135,0.657185614109039,2018-05-25
"647",456895,6527125,0.639016270637512,2018-05-25
"648",456905,6527125,0.653299927711487,2018-05-25
